MedianLatNorth,MedianLatSouth,MedianLatNorth_Smoothed,MedianLatSouth_Smoothed,times
26.361428571428576,-23.95952380952381,26.421955277625987,-23.93962155969688,1995-07-02 12:00:00
26.361428571428576,-23.95952380952381,26.066426611116775,-24.106614915733925,1995-10-01 18:00:00
26.361428571428576,-23.95952380952381,25.34961885262058,-24.429312650690427,1996-01-01 00:00:00
23.312701149425287,-25.183471074380165,24.361595265547646,-24.850842430744777,1996-04-01 12:00:00
23.312701149425287,-25.183471074380165,23.61762181889409,-25.09594140756969,1996-07-02 00:00:00
23.312701149425287,-25.183471074380165,23.186122873158553,-25.011069377014294,1996-10-01 12:00:00
23.312701149425287,-25.183471074380165,22.862039245716097,-24.55186883451273,1997-01-01 00:00:00
22.140397022332508,-23.049991631799163,22.524421644780773,-23.85567935776149,1997-04-02 06:00:00
22.140397022332508,-23.049991631799163,22.247196996691898,-23.295881450402526,1997-07-02 12:00:00
22.140397022332508,-23.049991631799163,21.954251059352256,-22.887342214876856,1997-10-01 18:00:00
22.140397022332508,-23.049991631799163,21.49031393149414,-22.438947597335687,1998-01-01 00:00:00
20.121041942604855,-21.232217680122634,20.863202347411715,-21.888211392394634,1998-04-02 06:00:00
20.121041942604855,-21.232217680122634,20.339611434914307,-21.41968735263658,1998-07-02 12:00:00
20.121041942604855,-21.232217680122634,19.86495183898961,-20.939285612055482,1998-10-01 18:00:00
20.121041942604855,-21.232217680122634,19.21236903433963,-20.21198117768796,1999-01-01 00:00:00
17.447120622568097,-18.216560826319814,18.37211643053527,-19.256584561508234,1999-04-02 06:00:00
17.447120622568097,-18.216560826319814,17.710014215997884,-18.51408271260057,1999-07-02 12:00:00
17.447120622568097,-18.216560826319814,17.205119152979382,-17.990176322974094,1999-10-01 18:00:00
17.447120622568097,-18.216560826319814,16.616834124606015,-17.436827875134416,2000-01-01 00:00:00
15.15487496322448,-16.10622200584226,15.897173155949602,-16.78007741728115,2000-04-01 12:00:00
15.15487496322448,-16.10622200584226,15.361148065483059,-16.28948135950283,2000-07-02 00:00:00
15.15487496322448,-16.10622200584226,15.022945641319684,-15.965237923761464,2000-10-01 12:00:00
15.15487496322448,-16.10622200584226,14.71347755089377,-15.645918138669229,2001-01-01 00:00:00
13.980434491978611,-14.905918901242643,14.36194502433962,-15.278386662354205,2001-04-02 06:00:00
13.980434491978611,-14.905918901242643,14.088408745372417,-15.01206406826492,2001-07-02 12:00:00
13.980434491978611,-14.905918901242643,13.862715416520938,-14.853363574194269,2001-10-01 18:00:00
13.980434491978611,-14.905918901242643,13.56661452621235,-14.71442090017473,2002-01-01 00:00:00
12.719889391654098,-14.286840659340658,13.180214308902215,-14.544801247388335,2002-04-02 06:00:00
12.719889391654098,-14.286840659340658,12.849851029558527,-14.365058675450566,2002-07-02 12:00:00
12.719889391654098,-14.286840659340658,12.524637268838527,-14.079426808946373,2002-10-01 18:00:00
12.719889391654098,-14.286840659340658,12.054288807515842,-13.546118409135886,2003-01-01 00:00:00
10.86933458294283,-11.981038805970147,11.455252623041323,-12.812303094372405,2003-04-02 06:00:00
10.86933458294283,-11.981038805970147,11.031652804394195,-12.221350276169746,2003-07-02 12:00:00
10.86933458294283,-11.981038805970147,10.854559105288507,-11.758935531953083,2003-10-01 18:00:00
10.86933458294283,-11.981038805970147,10.84049624153736,-11.21186888604095,2004-01-01 00:00:00
10.977352112676058,-9.8776095311299,10.896748441388015,-10.54475587285878,2004-04-01 12:00:00
10.977352112676058,-9.8776095311299,10.956778424536404,-10.060898024172392,2004-07-02 00:00:00
10.977352112676058,-9.8776095311299,11.001305890559323,-9.796387000115105,2004-10-01 12:00:00
10.977352112676058,-9.8776095311299,11.028790548544121,-9.618898814062042,2005-01-01 00:00:00
10.84584686774942,-9.274726720647774,11.021624927883996,-9.447640694205178,2005-04-02 06:00:00
10.84584686774942,-9.274726720647774,10.910992164416985,-9.320955279879792,2005-07-02 12:00:00
10.84584686774942,-9.274726720647774,10.524174105099755,-9.21704800614934,2005-10-01 18:00:00
10.84584686774942,-9.274726720647774,9.673929487511824,-9.076115435525077,2006-01-01 00:00:00
7.114206349206349,-8.646465927099841,8.476108796649678,-8.886866979733744,2006-04-02 06:00:00
7.114206349206349,-8.646465927099841,7.508449269704522,-8.715476428563239,2006-07-02 12:00:00
7.114206349206349,-8.646465927099841,6.757319578671017,-8.522758367012019,2006-10-01 18:00:00
7.114206349206349,-8.646465927099841,5.882123233956098,-8.219794051504023,2007-01-01 00:00:00
3.7916666666666665,-7.423754385964912,4.829136845672188,-7.825618426741707,2007-04-02 06:00:00
3.7916666666666665,-7.423754385964912,4.082542815978704,-7.540165803464783,2007-07-02 12:00:00
3.7916666666666665,-7.423754385964912,3.720199121176866,-7.399102529660235,2007-10-01 18:00:00
3.7916666666666665,-7.423754385964912,3.5502975544982123,-7.33136121829781,2008-01-01 00:00:00
27.85490196078431,-26.354444444444443,28.162054881256704,-26.325571774417817,2007-04-02 06:00:00
27.85490196078431,-26.354444444444443,27.94095824544161,-26.356956802685712,2007-07-02 12:00:00
27.85490196078431,-26.354444444444443,27.475589603223863,-26.409961103996746,2007-10-01 18:00:00
27.85490196078431,-26.354444444444443,26.52612015283848,-26.497901111350835,2008-01-01 00:00:00
23.70731092436975,-26.52975,25.198768946332354,-26.58764013965892,2008-04-01 12:00:00
23.70731092436975,-26.52975,24.142604191582752,-26.557677571471913,2008-07-02 00:00:00
